               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079294,            0.029913,            0.018569,             0.48537,             0.39307,             0.35954,             0.18781,            0.057384,             0.01533,           0.0066422,            0.070082,           0.0033243,           0.0033243
                   1,            0.056244,            0.024936,           0.0063168,              0.6129,             0.45147,             0.45755,             0.22493,            0.056476,            0.013665,           0.0050759,            0.040016,           0.0065917,           0.0065917
                   2,            0.051475,            0.023694,           0.0051433,             0.67751,               0.448,             0.51471,             0.29367,            0.051466,            0.013939,           0.0041985,           0.0098837,           0.0097931,           0.0097931
                   3,            0.048342,            0.023719,           0.0049727,             0.75294,             0.55938,             0.62247,             0.36726,            0.045006,             0.01232,           0.0037221,            0.009703,            0.009703,            0.009703
                   4,            0.044528,            0.022622,           0.0043828,             0.74372,             0.56161,             0.62085,             0.36409,            0.045965,            0.012522,           0.0035183,            0.009703,            0.009703,            0.009703
                   5,             0.04311,            0.022267,           0.0041764,             0.80531,             0.61728,             0.67821,             0.42353,            0.041177,            0.011851,           0.0030494,            0.009604,            0.009604,            0.009604
                   6,            0.041206,            0.021631,           0.0035237,             0.82225,             0.65049,             0.72208,             0.43932,            0.040161,            0.011746,           0.0027744,            0.009505,            0.009505,            0.009505
                   7,            0.040131,            0.021813,           0.0033308,             0.81194,             0.66109,             0.71939,             0.46048,            0.038501,            0.011164,           0.0025432,            0.009406,            0.009406,            0.009406
                   8,            0.038685,            0.020811,           0.0031484,             0.84424,             0.64067,             0.71705,             0.46693,            0.038544,            0.011294,           0.0026127,            0.009307,            0.009307,            0.009307
                   9,            0.039332,            0.020987,           0.0031968,             0.82511,             0.65617,             0.73057,             0.47325,            0.038445,            0.011657,           0.0026786,            0.009208,            0.009208,            0.009208
                  10,            0.038474,            0.020751,           0.0031111,              0.8299,               0.649,             0.71965,             0.46666,            0.038905,            0.011129,           0.0027578,            0.009109,            0.009109,            0.009109
                  11,            0.037644,            0.020675,           0.0028501,             0.84882,             0.65955,              0.7405,             0.48812,             0.03697,            0.011004,           0.0024568,             0.00901,             0.00901,             0.00901
                  12,            0.037268,            0.020726,           0.0028761,             0.85593,             0.63631,              0.7324,             0.47309,            0.036704,            0.011037,           0.0028497,            0.008911,            0.008911,            0.008911
                  13,            0.036389,            0.020235,           0.0028036,             0.86388,             0.67804,             0.75313,             0.49988,            0.036119,            0.010702,           0.0025748,            0.008812,            0.008812,            0.008812
                  14,             0.03614,            0.019822,           0.0025685,             0.85466,             0.66063,             0.74859,             0.48981,             0.03592,             0.01087,           0.0025369,            0.008713,            0.008713,            0.008713
